Date and Hour,File Worked On,Time Spent on File (seconds),App Used,Project Name
2024-11-22 18:00,-,101.37557000000001,EXCEL.EXE,-
2024-11-22 18:00,-,0.220628,MailClient.exe,-
2024-11-22 18:00,-,96.39196,WINWORD.EXE,-
2024-11-22 18:00,-,54.738377,acad.exe,-
2024-11-22 18:00,-,826.4752229999999,others,-
2024-11-22 18:00,02_29102024,106.3716,others,-
2024-11-22 18:00,06.02.Otgovor-AGKK-21.05.2019 - PDF-XChange Viewer,55.93801,others,-
2024-11-22 18:00,06.04.Stanovishte-AGKK - PDF-XChange Viewer,5.538471,others,-
2024-11-22 18:00,2024.07.11 - Заповед за допускане - PDF-XChange Viewer,11.39597,others,-
2024-11-22 18:00,392-CHER,4.984925,others,-
2024-11-22 18:00,4 - New Message,0.325735,MailClient.exe,-
2024-11-22 18:00,42 - New Message,0.341267,MailClient.exe,-
2024-11-22 18:00,426 - New Message,0.341652,MailClient.exe,-
2024-11-22 18:00,426- - New Message,1.762313,MailClient.exe,426
2024-11-22 18:00,426-M - New Message,0.109845,MailClient.exe,426
2024-11-22 18:00,426-MI - New Message,0.112057,MailClient.exe,426
2024-11-22 18:00,426-MIL - New Message,0.887923,MailClient.exe,426
2024-11-22 18:00,426-MILB - New Message,0.557868,MailClient.exe,426
2024-11-22 18:00,426-MILV - New Message,147.804797,MailClient.exe,426
2024-11-22 18:00,426-М - New Message,0.347193,MailClient.exe,426
2024-11-22 18:00,426-МИ - New Message,0.329783,MailClient.exe,426
2024-11-22 18:00,426-МИЛ - New Message,0.544487,MailClient.exe,426
2024-11-22 18:00,All Inboxes - eM Client,18.829418999999998,MailClient.exe,-
2024-11-22 18:00,ChatGPT,14.423931,opera.exe,-
2024-11-22 18:00,Convert 70 CS to BGS2005,9.380554,opera.exe,-
2024-11-22 18:00,File Explorer,132.798643,others,-
2024-11-22 18:00,Loading…,23.346564,opera.exe,-
2024-11-22 18:00,PDF-XChange Viewer,283.419172,others,-
2024-11-22 18:00,Program Manager,164.243269,others,-
2024-11-22 18:00,Rakuten Viber,174.460009,Viber.exe,-
2024-11-22 18:00,Run,43.471180000000004,others,-
2024-11-22 18:00,Snipping Tool,14.659475,others,-
2024-11-22 18:00,Unread - eM Client,2.934654,MailClient.exe,-
2024-11-22 18:00,Varna_Reg,2.734809,others,-
2024-11-22 18:00,[no subject] - New Message,28.562640000000002,MailClient.exe,-
2024-11-22 18:00,cor,1.965348,others,-
2024-11-22 18:00,file_usage_tracker_prod,158.190799,others,-
2024-11-22 18:00,Д - New Message,0.864203,MailClient.exe,-
2024-11-22 18:00,ДЕ - New Message,0.555842,MailClient.exe,-
2024-11-22 18:00,Де - New Message,0.123952,MailClient.exe,-
2024-11-22 18:00,Дел - New Message,0.325648,MailClient.exe,-
2024-11-22 18:00,Дело  - New Message,0.33858,MailClient.exe,-
2024-11-22 18:00,Дело - New Message,0.660805,MailClient.exe,-
2024-11-22 18:00,Дело Р - New Message,0.215738,MailClient.exe,-
2024-11-22 18:00,Дело РИ - New Message,0.230653,MailClient.exe,-
2024-11-22 18:00,Дело РИО - New Message,0.77077,MailClient.exe,-
2024-11-22 18:00,Дело РИОС - New Message,0.23172,MailClient.exe,-
2024-11-22 18:00,Дело РИОСВ - New Message,3.040585,MailClient.exe,-
